tanggal,title,title_clean
2022-03-01,"Dinilai Tak Efektif Cegah Banjir Jakarta, Sumur Resapan ala Anies Malah Akan Digunakan di IKN",dinilai tak efektif cegah banjir jakarta sumur resapan ala anies malah digunakan ibu kota negara
2022-03-01,"Bicara soal Kesetiaan Tentara, Jokowi Ingatkan Anggota TNI Hati-hati Berdebat soal IKN",bicara soal kesetiaan tentara jokowi ingatkan anggota tni hati hati berdebat soal ibu kota negara
2022-03-01,"Puan Usulkan Lokasi Istana Negara di IKN Diapit Mabes TNI dan Polri, Ini Alasannya",puan usulkan lokasi istana negara ibu kota negara diapit mabes tni polri alasannya
2022-03-01,Menpan RB: Skenario Pemindahan ASN ke IKN Nusantara Terus Dimatangkan,menpan rb skenario pemindahan asn ibu kota negara nusantara terus dimatangkan
2022-03-01,"Menpan RB: ASN Tak Bisa Beralasan Tak Mau Pindah ke IKN, Hukumnya Wajib",menpan rb asn tak beralasan tak mau pindah ibu kota negara hukumnya wajib
2022-03-01,"Pakar Harap Calon Kepala Otorita IKN dari Profesional, Ini Kriterianya...",pakar harap calon kepala otorita ibu kota negara profesional kriterianya
2022-03-01,Alasan Jokowi Pindahkan Ibu Kota Negara: Pemerataan Ekonomi hingga Populasi,alasan jokowi pindahkan ibu kota negara pemerataan ekonomi hingga populasi
2022-03-02,"Jokowi Geram Grup WhatsApp TNI Bahas Tolak IKN, KSAD: Jangan Ada yang Aneh-aneh!",jokowi geram grup whatsapp tni bahas tolak ibu kota negara ksad jangan aneh aneh
2022-03-02,"Pemindahan Ibu Kota Negara: Gagasan Soekarno, Mimpi Soeharto, dan Upaya Jokowi",pemindahan ibu kota negara gagasan soekarno mimpi soeharto upaya jokowi
2022-03-02,"Dalam Sidang Munarman, Rocky Gerung Sentil Jokowi yang Intip Grup WA TNI soal Tolak IKN",sidang munarman rocky gerung sentil jokowi intip grup whatsapp tni soal tolak ibu kota negara
2022-03-02,"Risaukan Polemik IKN dalam WAG, Jokowi Dinilai Ingin Pastikan Dukungan Penuh TNI-Polri",risaukan polemik ibu kota negara whatsapp group jokowi dinilai pastikan dukungan penuh tni polri
2022-03-03,"Risiko Kegagalan Tinggi, Pemindahan IKN Diminta Hati-hati",risiko kegagalan tinggi pemindahan ibu kota negara diminta hati hati
2022-03-03,"Ajak Semua Pihak Dukung Pemindahan IKN, Bamsoet: Pembangunan Nasional Amanat Konstitusi",ajak semua pihak dukung pemindahan ibu kota negara bamsoet pembangunan nasional amanat konstitusi
2022-03-03,"Bappenas: Skenario Jumlah Penduduk di IKN Nusantara 1,9 Juta Orang",bappenas skenario jumlah penduduk ibu kota negara nusantara juta orang
2022-03-03,"Jokowi Singgung Debat WhatsApp Soal IKN di Rapim TNI-Polri, Pengamat: Harusnya Bahas Hal Strategis",jokowi singgung debat whatsapp soal ibu kota negara rapim tni polri pengamat harusnya bahas strategis
2022-03-03,"Singgung Perdebatan Grup WA TNI Soal IKN, Intervensi Jokowi Dinilai Terlalu Jauh",singgung perdebatan grup whatsapp tni soal ibu kota negara intervensi jokowi dinilai terlalu jauh
2022-03-03,[POPULER NASIONAL] KSAD Ingatkan Anggota Jangan Debat Soal IKN | Peluncuran Seragam Baru TNI AD,populer nasional ksad ingatkan anggota jangan debat soal ibu kota negara peluncuran seragam baru tni ad
2022-03-03,Bappenas Sebut Aturan Turunan UU IKN Ditargetkan Rampung Akhir Maret 2022,bappenas sebut aturan turunan uu ibu kota negara ditargetkan rampung akhir maret
2022-03-04,"Bangun Lanud Baru, TNI AU Bakal Geser 2 Skadron VIP/VVIP ke IKN Nusantara",bangun lanud baru tni au bakal geser skadron vip vvip ibu kota negara nusantara
2022-03-04,Sederet Fasilitas untuk ASN yang Ditugaskan di IKN: Tunjangan Tambahan hingga Rumah Dinas,sederet fasilitas asn ditugaskan ibu kota negara tunjangan tambahan hingga rumah dinas
